IdentifierType,IdentifierTypeID,ID,NIMSPEntityID
"Sunlight Lawmaker",1,CAL000413,11023296
"Sunlight Lawmaker",1,CAL000426,330788
"Sunlight Lawmaker",1,CAL000428,18912284
"Sunlight Lawmaker",1,CAL000430,173676
"Sunlight Lawmaker",1,CAL000431,18912256
"Sunlight Lawmaker",1,CAL000443,23421138
"Sunlight Lawmaker",1,CAL000444,1322026
"Sunlight Lawmaker",1,CAL000445,23421247
"Sunlight Lawmaker",1,CAL000446,23421292
"Sunlight Lawmaker",1,CAL000447,23421088
"Sunlight Lawmaker",1,CAL000448,2495983
"Sunlight Lawmaker",1,CAL000449,23421184
"Sunlight Lawmaker",1,CAL000452,16563519
"Sunlight Lawmaker",1,CAL000453,23421143
"Sunlight Lawmaker",1,CAL000454,23421278
"Sunlight Lawmaker",1,CAL000455,15368808
"Sunlight Lawmaker",1,CAL000456,23421215
"Sunlight Lawmaker",1,CAL000457,23421159
"Sunlight Lawmaker",1,CAL000458,23421142
"Sunlight Lawmaker",1,CAL000460,16041254
"Sunlight Lawmaker",1,CAL000461,23421285
"Sunlight Lawmaker",1,CAL000462,23421307
"Sunlight Lawmaker",1,CAL000463,23421211
"Sunlight Lawmaker",1,CAL000465,133178
"Sunlight Lawmaker",1,CAL000466,1263904
"Sunlight Lawmaker",1,CAL000469,1272718
"Sunlight Lawmaker",1,CAL000472,23421316
"Sunlight Lawmaker",1,CAL000473,775723
"Sunlight Lawmaker",1,CAL000475,11022372
"Sunlight Lawmaker",1,CAL000476,23421323
"Sunlight Lawmaker",1,CAL000478,785335
"Sunlight Lawmaker",1,CAL000480,23421309
"Sunlight Lawmaker",1,CAL000481,11023291
"Sunlight Lawmaker",1,CAL000482,6413709
"Sunlight Lawmaker",1,CAL000483,13008471
"Sunlight Lawmaker",1,CAL000484,13479345
"Sunlight Lawmaker",1,CAL000485,6485735
"Sunlight Lawmaker",1,CAL000486,13008802
"Sunlight Lawmaker",1,CAL000488,23421257
"Sunlight Lawmaker",1,CAL000489,15742477
"Sunlight Lawmaker",1,CAL000490,23421111
"Sunlight Lawmaker",1,CAL000494,13008846
"Sunlight Lawmaker",1,CAL000495,1348234
"Sunlight Lawmaker",1,COL000002,6090649
"Sunlight Lawmaker",1,COL000003,6492985
"Sunlight Lawmaker",1,COL000005,6115114
"Sunlight Lawmaker",1,COL000013,6681198
"Sunlight Lawmaker",1,COL000017,6303569
"Sunlight Lawmaker",1,COL000018,6001480
"Sunlight Lawmaker",1,COL000024,6592769
"Sunlight Lawmaker",1,COL000029,6003380
"Sunlight Lawmaker",1,COL000030,6499387
"Sunlight Lawmaker",1,COL000035,6266726
"Sunlight Lawmaker",1,COL000036,5988512
"Sunlight Lawmaker",1,COL000037,12998092
"Sunlight Lawmaker",1,COL000042,6093499
"Sunlight Lawmaker",1,COL000045,6130447
"Sunlight Lawmaker",1,COL000054,6499325
"Sunlight Lawmaker",1,COL000057,6681166
